session_id,user_id,session_start,device_type
1,1000,2025-03-17,desktop
2,1000,2025-03-21,desktop
3,1000,2025-02-17,mobile
4,1000,2025-02-08,desktop
5,1000,2025-02-14,desktop
6,1000,2025-03-19,mobile
7,1000,2025-02-09,mobile
8,1000,2025-02-17,mobile
9,1000,2025-03-01,desktop
10,1001,2025-02-06,desktop
11,1001,2025-03-14,mobile
12,1001,2025-03-06,mobile
13,1001,2025-02-04,mobile
14,1001,2025-02-21,mobile
15,1001,2025-03-13,desktop
16,1001,2025-02-14,mobile
17,1001,2025-02-23,mobile
18,1001,2025-02-16,mobile
19,1002,2025-03-05,desktop
20,1002,2025-02-24,mobile
21,1002,2025-02-13,mobile
22,1002,2025-02-13,desktop
23,1003,2025-02-10,desktop
24,1003,2025-03-03,mobile
25,1003,2025-02-20,mobile
26,1003,2025-02-10,desktop
27,1003,2025-03-12,desktop
28,1003,2025-03-14,desktop
29,1004,2025-03-02,desktop
30,1004,2025-03-15,mobile
31,1004,2025-03-11,desktop
32,1004,2025-02-05,desktop
33,1004,2025-03-16,mobile
34,1004,2025-02-21,desktop
35,1004,2025-03-03,desktop
36,1005,2025-02-02,mobile
37,1005,2025-03-23,desktop
38,1005,2025-03-19,desktop
39,1005,2025-02-18,desktop
40,1005,2025-02-03,desktop
41,1006,2025-02-21,mobile
42,1006,2025-02-27,mobile
43,1006,2025-02-16,desktop
44,1006,2025-03-13,mobile
45,1006,2025-02-08,desktop
46,1006,2025-03-08,mobile
47,1006,2025-03-16,desktop
48,1007,2025-03-14,desktop
49,1007,2025-03-23,desktop
50,1007,2025-02-09,desktop
51,1007,2025-03-06,desktop
52,1007,2025-02-14,mobile
53,1008,2025-02-21,mobile
54,1008,2025-03-25,mobile
55,1008,2025-02-03,desktop
56,1008,2025-02-24,desktop
57,1008,2025-03-17,mobile
58,1008,2025-02-06,desktop
59,1008,2025-03-08,mobile
60,1008,2025-03-23,mobile
61,1008,2025-03-24,desktop
62,1009,2025-03-05,mobile
63,1009,2025-03-18,mobile
